,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
135625,321,184,220,-153,-131,97,-113,230,-53,-211,55,71,196,-88,-199,-243,103,-74,-585,-282,-319,53,263,-136,41,-56,174,48,93,-187,-562,-149
135626,274,183,185,-178,-151,56,-130,194,-81,-221,33,62,187,-108,-209,-382,66,-80,-582,-290,-328,12,265,-144,45,-66,154,40,97,-187,-550,-146
135627,277,205,164,-160,-167,74,-108,218,-61,-214,37,105,202,-92,-194,-121,104,-39,-588,-286,-303,18,306,-127,54,-67,191,68,112,-178,-537,-160
135628,317,228,195,-133,-154,81,-76,271,-24,-193,43,143,227,-69,-181,93,164,0,-565,-274,-298,19,388,-110,81,-65,149,74,134,-171,-538,-205
135629,291,181,160,-146,-181,57,-102,246,-40,-203,21,135,214,-94,-221,208,76,-2,-579,-305,-325,-2,377,-107,60,-75,85,25,104,-197,-553,-215
135630,254,163,122,-159,-184,68,-95,236,-55,-224,-15,111,205,-99,-249,226,-24,-26,-602,-316,-368,-10,319,-139,60,-101,68,-2,85,-187,-555,-205
135631,254,175,114,-152,-181,66,-102,235,-33,-218,-10,94,211,-77,-261,201,-85,-75,-573,-308,-376,-51,266,-134,69,-93,94,-9,57,-210,-565,-248
135632,246,155,113,-173,-181,39,-174,218,-49,-218,-32,32,183,-82,-277,123,-18,-109,-563,-310,-395,-109,210,-153,60,-108,98,-5,56,-228,-572,-215
135633,227,118,135,-174,-196,33,-206,231,-62,-230,-58,-10,183,-89,-259,103,-97,-104,-539,-313,-389,-83,211,-140,64,-107,59,38,113,-176,-537,-174
135634,249,148,180,-146,-173,34,-164,238,-33,-226,-33,10,216,-81,-240,112,-161,-62,-540,-299,-389,-26,251,-127,64,-92,59,59,119,-178,-566,-189
135635,253,132,193,-161,-177,38,-152,223,-50,-231,-25,49,235,-71,-235,43,-87,-50,-525,-282,-403,12,257,-108,74,-70,121,60,125,-165,-530,-153
135636,200,99,138,-186,-215,38,-142,208,-72,-256,-27,14,206,-85,-255,-75,-37,-70,-543,-294,-388,52,238,-128,77,-72,144,38,120,-162,-502,-137
135637,206,116,142,-183,-206,39,-167,210,-70,-247,-37,6,184,-106,-271,-124,-145,-81,-549,-315,-424,-75,242,-145,56,-115,106,23,91,-245,-657,-255
135638,206,116,134,-176,-222,70,-189,196,-61,-228,-51,9,186,-102,-262,-76,137,-83,-559,-318,-406,-163,247,-154,27,-112,98,5,69,-254,-653,-264
135639,145,95,76,-211,-221,61,-166,169,-77,-259,-48,-18,164,-111,-285,-49,-31,-95,-583,-335,-406,-145,266,-169,40,-118,68,-62,42,-243,-640,-308
135640,186,129,90,-195,-199,55,-154,203,-67,-246,-22,27,201,-118,-263,-36,24,-57,-554,-304,-361,-46,261,-134,60,-75,114,-53,79,-225,-607,-246
135641,218,177,151,-179,-172,79,-159,258,-41,-238,-23,61,254,-86,-247,-116,50,-35,-540,-270,-341,-20,231,-120,78,-61,114,12,100,-205,-592,-264
135642,250,213,199,-160,-180,71,-140,271,-50,-247,-29,57,244,-81,-255,-164,-74,-37,-540,-309,-375,-58,226,-104,69,-85,72,-20,93,-214,-611,-282
