,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
110919,-544,-256,51,-73,-216,212,157,328,-31,54,61,119,524,190,133,-67,-58,298,0,137,14,244,252,-33,236,221,137,184,302,174,31,432
110920,-462,-281,74,-90,-226,197,153,311,-25,46,54,154,526,193,122,-59,-22,271,-4,134,23,261,247,-49,255,228,152,198,319,173,46,435
110921,-472,-366,86,-22,-212,212,158,340,-13,52,39,204,529,184,120,-47,-5,297,8,144,22,255,284,-49,259,243,182,233,353,181,54,465
110922,-412,-391,111,-21,-189,183,176,338,-11,64,49,194,528,189,113,-23,-6,326,18,152,44,239,270,-42,250,235,228,235,337,185,32,432
110923,-370,-370,139,-41,-185,184,216,321,-9,54,68,205,530,202,145,7,51,331,26,157,51,279,267,-28,266,246,263,232,331,175,26,440
110924,-415,-389,169,-73,-214,178,202,213,-40,25,64,202,510,190,150,-2,88,291,16,138,69,288,264,-38,253,255,266,234,315,177,56,517
110925,-436,-290,141,-80,-206,158,200,70,-33,32,82,234,522,207,153,1,32,350,36,165,76,310,329,-31,277,269,226,250,334,203,81,547
110926,-474,-231,66,-32,-225,140,183,373,-4,36,62,195,549,197,138,8,27,338,24,178,80,321,313,-37,289,256,200,264,344,211,97,552
110927,-448,-227,140,6,-214,172,148,497,-8,43,36,156,540,184,122,-30,57,286,-4,151,37,299,270,-72,254,240,196,220,302,178,53,483
110928,-438,-248,102,-10,-237,147,144,385,-11,34,41,156,508,167,108,-34,22,284,-10,129,12,280,283,-66,243,234,187,188,281,165,47,488
110929,-479,-202,67,27,-230,130,121,339,-17,6,56,158,513,146,100,-31,50,301,-15,135,28,321,337,-42,265,252,245,261,316,233,87,590
110930,-413,-218,83,-15,-216,129,130,367,-23,27,88,155,514,151,123,-49,27,319,-17,134,24,313,355,-37,270,240,244,256,323,223,82,541
110931,-341,-237,131,-37,-195,151,215,420,4,31,115,191,546,171,155,8,17,363,27,163,72,343,408,-4,300,281,286,257,339,249,116,583
110932,-365,-260,121,-34,-233,152,215,418,-11,25,107,189,560,160,161,19,53,351,32,163,78,349,397,1,282,283,283,262,323,242,114,576
110933,-352,-220,126,-14,-216,183,255,440,5,52,126,184,585,198,186,60,116,372,51,200,120,369,338,12,316,312,291,304,361,237,138,603
110934,-377,-179,160,-20,-223,226,283,396,-1,57,136,191,578,224,188,89,83,357,67,191,145,380,325,13,320,317,321,308,350,225,140,674
110935,-397,-220,191,-34,-244,256,265,352,0,43,103,180,581,194,182,95,-20,360,52,195,128,381,346,-10,304,301,317,258,309,199,122,626
110936,-304,-253,230,-17,-206,295,323,352,14,75,147,191,586,223,229,136,67,368,80,223,163,401,388,25,341,339,344,278,363,234,142,645
110937,-303,-295,229,-47,-203,316,276,352,16,65,136,177,580,239,223,160,66,366,86,218,175,369,433,41,350,351,321,301,405,264,146,658
110938,-340,-327,163,-23,-224,300,215,345,2,56,116,167,589,218,206,227,35,380,65,214,158,339,462,37,333,343,291,279,385,261,125,560
