,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
102087,210,494,438,-1072,81,333,385,383,-4,-266,274,153,155,-33,-779,223,225,-177,-522,-194,-183,13,85,-84,-38,-182,491,-88,106,-163,-638,-221
102088,223,482,408,-1070,80,298,341,375,-3,-271,246,110,142,-38,-771,178,214,-208,-468,-181,-166,-14,79,-85,-8,-150,548,-157,69,-168,-568,-151
102089,182,401,388,-1093,51,278,280,386,-14,-287,203,136,164,-39,-780,144,218,-182,-472,-183,-201,-4,91,-76,-17,-177,501,-162,47,-216,-643,-353
102090,170,402,387,-1092,43,282,299,377,-12,-293,213,186,150,-56,-767,89,213,-169,-485,-196,-192,66,135,-56,-33,-159,461,-126,83,-206,-672,-327
102091,206,483,446,-1118,84,321,409,325,-1,-265,269,219,168,-19,-762,43,272,-148,-462,-167,-151,110,206,-50,-12,-135,467,-130,82,-216,-720,-315
102092,233,496,483,-1126,82,341,414,321,0,-253,267,213,167,-17,-748,62,271,-148,-445,-149,-163,32,216,-43,10,-128,455,-119,112,-186,-710,-325
102093,243,479,426,-1117,78,306,339,321,-10,-261,250,105,139,-44,-727,80,215,-186,-471,-158,-189,-10,87,-77,-12,-138,444,-154,56,-227,-679,-305
102094,244,480,399,-1122,80,327,348,328,-1,-260,279,46,135,-11,-721,149,240,-197,-458,-138,-150,4,47,-103,7,-117,508,-137,-38,-223,-649,-274
102095,223,484,407,-1141,76,337,401,342,-4,-252,291,98,150,-32,-739,167,230,-170,-457,-156,-162,4,96,-73,18,-112,533,-136,24,-193,-634,-302
102096,187,501,380,-1133,79,371,369,352,-8,-255,333,121,159,-14,-738,149,214,-158,-444,-128,-142,39,131,-25,56,-96,604,-86,127,-111,-559,-214
102097,162,467,365,-1151,76,347,351,275,-15,-247,332,123,162,-22,-749,39,162,-145,-445,-127,-141,33,130,-33,49,-83,608,-61,177,-65,-523,-179
102098,141,381,310,-1152,61,341,306,297,5,-240,319,108,168,-11,-759,-152,163,-156,-427,-108,-127,11,169,-37,49,-91,575,-11,201,-95,-568,-150
102099,117,387,176,-1116,48,333,232,336,14,-252,303,94,174,-6,-796,-183,236,-168,-419,-129,-123,22,167,-35,44,-93,586,3,129,-126,-563,-73
102100,143,442,193,-1110,74,348,261,376,26,-251,317,169,191,-15,-795,-211,256,-126,-428,-132,-146,21,174,-33,36,-113,585,-15,123,-129,-569,-132
102101,197,489,348,-1090,81,363,299,412,9,-259,312,163,179,-8,-781,-143,268,-163,-450,-161,-164,-1,161,-63,17,-166,478,-151,40,-210,-661,-335
102102,178,508,415,-1097,79,344,274,393,9,-261,308,135,164,-36,-759,21,225,-171,-469,-180,-155,46,196,-67,-11,-155,461,-159,26,-219,-647,-220
102103,175,482,426,-1153,66,326,345,286,11,-250,291,135,145,-47,-766,146,289,-181,-489,-189,-156,32,259,-81,-34,-171,485,-133,40,-209,-682,-201
102104,163,494,436,-1155,58,315,349,265,-4,-252,257,123,144,-42,-768,189,286,-173,-486,-209,-186,-30,183,-106,-35,-217,457,-116,57,-204,-694,-246
102105,193,543,441,-1110,79,342,355,318,-12,-267,220,176,134,-44,-800,222,220,-191,-484,-221,-216,2,97,-100,-63,-238,468,-167,25,-244,-731,-339
102106,229,556,492,-1070,90,344,374,371,15,-256,223,171,178,-19,-829,208,235,-173,-474,-211,-210,62,176,-84,-57,-244,510,-132,19,-251,-740,-323
102107,194,503,421,-1085,81,351,418,345,7,-249,298,179,158,-37,-805,132,239,-162,-503,-216,-198,59,172,-105,-83,-254,471,-138,0,-294,-796,-373
102108,183,478,383,-1100,93,365,455,377,0,-222,328,239,143,-53,-755,198,285,-169,-506,-199,-193,122,103,-105,-65,-242,412,-106,14,-272,-759,-324
102109,189,493,366,-1096,80,361,429,323,-1,-218,274,230,128,-43,-751,245,292,-169,-494,-193,-190,117,122,-70,-40,-227,450,-58,63,-217,-701,-243
102110,163,470,367,-1103,69,316,358,328,14,-238,273,133,157,-27,-750,231,278,-146,-469,-173,-167,74,159,-42,2,-193,496,-47,146,-129,-612,-167
102111,160,542,406,-1137,75,327,390,371,-3,-254,292,114,171,-6,-725,217,287,-131,-446,-154,-139,73,164,-30,23,-158,536,-29,168,-81,-553,-103
102112,178,524,445,-1147,56,339,404,345,-14,-243,235,173,170,-10,-722,232,278,-115,-471,-140,-98,68,164,-13,34,-144,581,-55,162,-94,-544,-90
102113,219,497,434,-1150,57,339,396,339,-6,-237,320,155,177,-18,-695,197,225,-124,-477,-141,-109,76,162,-23,20,-140,566,-72,143,-118,-544,-238
102114,223,460,382,-1130,75,349,400,335,4,-227,345,176,182,3,-712,101,255,-128,-456,-124,-129,90,211,-38,12,-150,547,-108,83,-138,-545,-223
102115,189,433,344,-1121,73,348,339,332,4,-224,305,204,184,-3,-724,87,220,-102,-464,-121,-134,84,258,-31,12,-141,531,-161,56,-148,-606,-211
102116,174,430,351,-1109,86,350,287,363,29,-209,312,208,195,4,-689,118,230,-119,-436,-104,-132,58,208,-18,32,-121,552,-161,98,-114,-553,-234
102117,182,432,326,-1111,78,348,352,351,16,-211,319,189,200,9,-655,113,224,-121,-443,-113,-132,46,194,-18,32,-119,594,-135,99,-125,-555,-285
102118,203,471,343,-1106,65,352,410,337,21,-236,323,140,191,1,-683,-22,209,-156,-462,-122,-108,-4,145,-26,10,-122,549,-96,68,-174,-636,-349
102119,206,473,382,-1081,81,336,400,348,34,-230,328,165,198,-14,-713,-79,283,-145,-447,-137,-165,-1,108,-46,6,-169,470,-61,78,-263,-750,-330
