,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
59279,337,331,986,321,385,650,234,586,517,339,770,617,558,432,359,548,553,541,366,263,227,713,782,571,405,476,422,176,487,845,345,313
59280,348,308,986,324,377,677,237,589,531,345,717,537,538,396,361,551,517,513,357,260,229,746,752,553,397,473,469,251,483,840,337,240
59281,440,429,1024,358,401,648,168,676,539,341,701,752,560,414,361,527,557,576,384,269,245,856,800,599,411,491,514,275,510,881,390,339
59282,522,542,970,301,414,628,223,695,540,316,708,765,570,426,348,473,548,587,378,265,201,794,794,601,417,479,423,195,479,830,346,407
59283,542,554,907,269,398,594,271,657,543,315,674,609,557,431,338,439,569,555,366,259,174,741,810,579,422,466,402,294,488,831,350,332
59284,485,548,866,279,396,556,345,705,545,296,644,623,566,419,323,491,480,566,374,252,214,799,790,559,411,457,462,262,480,830,345,305
59285,378,523,903,265,406,556,396,713,556,317,579,712,602,441,317,554,492,630,388,267,225,819,797,586,411,473,431,256,483,823,340,332
59286,418,578,922,182,382,514,444,621,529,301,593,667,559,423,335,465,554,608,399,268,204,746,779,579,390,471,400,229,499,837,332,370
59287,453,585,883,244,389,550,449,629,535,300,611,610,579,436,335,405,523,583,403,261,222,676,814,595,411,474,404,267,513,861,363,426
59288,470,647,904,304,393,543,483,628,539,299,593,555,586,422,357,485,537,564,394,267,249,794,801,594,420,491,421,386,502,873,404,500
59289,483,671,1015,302,414,526,445,674,553,303,588,611,589,431,360,567,632,562,426,271,275,851,766,604,450,507,416,475,542,903,409,483
59290,501,695,1023,271,406,558,428,661,536,307,616,628,560,430,332,489,507,540,406,273,249,834,710,581,430,481,378,463,525,869,360,399
59291,525,742,954,274,404,474,415,645,538,292,622,615,561,450,348,539,499,531,419,280,262,895,712,575,424,494,441,444,530,871,363,406
59292,541,739,932,235,410,476,443,638,524,301,658,631,572,454,373,600,573,575,411,280,280,916,767,595,440,510,464,480,569,899,387,306
59293,535,745,965,237,396,520,485,635,523,301,680,606,560,439,370,632,563,558,410,286,311,891,772,601,446,525,522,351,557,878,355,283
59294,517,724,987,255,384,539,486,641,554,302,698,607,554,432,385,609,584,584,408,304,302,940,811,611,461,532,541,325,563,895,389,439
59295,515,631,1051,278,386,567,478,642,553,320,684,614,583,452,385,578,634,616,415,312,279,883,881,631,454,534,480,371,565,907,413,484
59296,528,566,1090,273,373,626,477,614,531,330,709,648,567,444,395,596,650,627,409,306,307,809,865,603,431,531,470,390,536,884,366,415
59297,496,598,1100,287,388,555,427,617,530,301,716,712,571,432,409,620,627,652,409,319,331,914,937,643,458,549,524,598,580,907,406,485
59298,491,556,1167,343,393,633,378,692,567,336,749,839,616,448,420,614,585,670,427,327,332,947,932,650,463,567,521,560,581,910,412,475
59299,509,523,1155,350,402,631,390,706,575,349,834,903,616,459,438,627,611,665,440,327,342,1043,856,625,458,583,553,411,552,909,411,488
59300,489,584,1098,339,408,594,397,730,564,346,868,749,602,440,420,616,748,658,422,302,331,989,889,626,437,550,505,403,550,868,386,437
59301,533,660,1111,330,419,548,354,772,571,350,843,727,600,440,427,658,743,638,419,292,335,869,881,611,420,527,458,437,554,880,393,370
59302,556,607,1105,302,417,614,443,719,538,337,759,666,570,433,416,777,733,620,383,300,356,881,848,575,404,551,536,417,544,897,409,446
59303,568,604,1039,268,394,611,447,703,528,324,731,666,562,415,396,524,724,605,377,287,373,848,878,570,418,548,548,438,533,865,376,399
59304,496,598,914,246,393,615,393,656,512,326,758,667,549,414,389,251,630,585,382,277,378,868,823,570,409,541,524,360,494,854,377,407
59305,418,468,916,264,385,620,369,742,510,308,802,689,560,420,359,508,563,576,376,276,330,854,795,549,399,518,515,242,478,874,375,465
